0.0000 0.0000 9.7551
0.0399 0.7483 9.7608
0.0797 1.5908 9.7375
0.1196 2.5734 9.5700
0.1595 3.6373 9.1068
0.1993 4.5940 8.2535
0.2392 5.1956 7.0819
0.2791 5.2942 5.8434
0.3189 4.9606 4.8319
0.3588 4.4377 4.1999
0.3987 3.9685 3.8940
0.4386 3.6603 3.7492
0.4784 3.4840 3.6277
0.5183 3.3656 3.4813
0.5582 3.2604 3.3180
0.5980 3.1552 3.1471
0.6379 3.0357 2.9696
0.6778 2.8824 2.8018
0.7176 2.6982 2.6776
0.7575 2.5171 2.6157
0.7974 2.3754 2.5986
0.8372 2.2796 2.5897
0.8771 2.2090 2.5671
0.9170 2.1430 2.5341
0.9568 2.0772 2.5020
0.9967 2.0165 2.4741
1.0366 1.9631 2.4469
1.0765 1.9145 2.4168
1.1163 1.8667 2.3821
1.1562 1.8127 2.3433
1.1961 1.7453 2.3091
1.2359 1.6681 2.2948
1.2758 1.5994 2.3080
1.3157 1.5590 2.3376
1.3555 1.5505 2.3594
1.3954 1.5582 2.3552
1.4353 1.5598 2.3242
1.4751 1.5403 2.2796
1.5150 1.4967 2.2388
1.5549 1.4364 2.2168
1.5947 1.3742 2.2220
1.6346 1.3285 2.2519
1.6745 1.3136 2.2910
1.7144 1.3292 2.3158
1.7542 1.3567 2.3083
1.7941 1.3686 2.2698
1.8340 1.3470 2.2223
1.8738 1.2958 2.1938
1.9137 1.2385 2.2005
1.9536 1.2026 2.2356
1.9934 1.2009 2.2748
2.0333 1.2240 2.2930
2.0732 1.2480 2.2813
2.1130 1.2516 2.2516
2.1529 1.2308 2.2258
2.1928 1.1987 2.2194
2.2326 1.1729 2.2322
2.2725 1.1631 2.2525
2.3124 1.1671 2.2681
2.3522 1.1769 2.2734
2.3921 1.1845 2.2693
2.4320 1.1853 2.2606
2.4719 1.1785 2.2536
2.5117 1.1677 2.2535
2.5516 1.1592 2.2615
2.5915 1.1585 2.2737
2.6313 1.1660 2.2832
2.6712 1.1763 2.2854
2.7111 1.1830 2.2820
2.7509 1.1837 2.2789
2.7908 1.1819 2.2810
2.8307 1.1830 2.2879
2.8705 1.1889 2.2955
2.9104 1.1973 2.3004
2.9503 1.2045 2.3037
2.9901 1.2101 2.3093
3.0300 1.2178 2.3187
3.0699 1.2306 2.3298
3.1098 1.2479 2.3390
3.1496 1.2674 2.3457
3.1895 1.2880 2.3510
3.2294 1.3104 2.3558
3.2692 1.3355 2.3594
3.3091 1.3632 2.3609
3.3490 1.3929 2.3599
3.3888 1.4244 2.3562
3.4287 1.4574 2.3494
3.4686 1.4918 2.3393
3.5084 1.5272 2.3253
3.5483 1.5629 2.3065
3.5882 1.5973 2.2821
3.6280 1.6274 2.2524
3.6679 1.6503 2.2202
3.7078 1.6651 2.1912
3.7477 1.6758 2.1713
3.7875 1.6905 2.1634
3.8274 1.7187 2.1643
3.8673 1.7674 2.1652
3.9071 1.8379 2.1538
3.9470 1.9259 2.1172
3.9869 2.0192 2.0441
4.0267 2.0991 1.9301
4.0666 2.1445 1.7826
4.1065 2.1418 1.6209
4.1463 2.0905 1.4681
4.1862 2.0014 1.3420
4.2261 1.8904 1.2516
4.2659 1.7729 1.1977
4.3058 1.6619 1.1751
4.3457 1.5646 1.1740
4.3856 1.4818 1.1844
4.4254 1.4084 1.2004
4.4653 1.3394 1.2224
4.5052 1.2736 1.2548
4.5450 1.2156 1.3009
4.5849 1.1721 1.3592
4.6248 1.1476 1.4236
4.6646 1.1417 1.4863
4.7045 1.1499 1.5428
4.7444 1.1676 1.5925
4.7842 1.1935 1.6376
4.8241 1.2294 1.6782
4.8640 1.2778 1.7107
4.9038 1.3368 1.7286
4.9437 1.4002 1.7275
4.9836 1.4599 1.7070
5.0234 1.5092 1.6703
5.0633 1.5428 1.6230
5.1032 1.5577 1.5726
5.1431 1.5547 1.5286
5.1829 1.5401 1.4994
5.2228 1.5247 1.4885
5.2627 1.5190 1.4919
5.3025 1.5285 1.5010
5.3424 1.5524 1.5071
5.3823 1.5865 1.5052
5.4221 1.6272 1.4930
5.4620 1.6715 1.4690
5.5019 1.7152 1.4308
5.5417 1.7514 1.3783
5.5816 1.7726 1.3170
5.6215 1.7765 1.2576
5.6613 1.7691 1.2109
5.7012 1.7639 1.1813
5.7411 1.7751 1.1621
5.7810 1.8098 1.1372
5.8208 1.8621 1.0879
5.8607 1.9141 1.0024
5.9006 1.9427 0.8833
5.9404 1.9314 0.7475
5.9803 1.8780 0.6177
6.0202 1.7934 0.5114
6.0600 1.6940 0.4351
6.0999 1.5928 0.3855
6.1398 1.4966 0.3561
6.1796 1.4078 0.3416
6.2195 1.3274 0.3381
6.2594 1.2564 0.3426
6.2992 1.1953 0.3510
6.3391 1.1421 0.3597
6.3790 1.0936 0.3665
6.4189 1.0463 0.3723
6.4587 0.9988 0.3795
6.4986 0.9523 0.3903
6.5385 0.9091 0.4051
6.5783 0.8707 0.4220
6.6182 0.8372 0.4387
6.6581 0.8068 0.4540
6.6979 0.7779 0.4678
6.7378 0.7492 0.4812
6.7777 0.7214 0.4956
6.8175 0.6954 0.5111
6.8574 0.6721 0.5266
6.8973 0.6507 0.5410
6.9371 0.6302 0.5542
6.9770 0.6098 0.5666
7.0169 0.5893 0.5790
7.0567 0.5689 0.5920
7.0966 0.5490 0.6059
7.1365 0.5303 0.6210
7.1764 0.5136 0.6365
7.2162 0.4990 0.6516
7.2561 0.4858 0.6654
7.2960 0.4730 0.6778
7.3358 0.4599 0.6894
7.3757 0.4464 0.7009
